folder,design,seed,Ec,Pr,Pc0,rp,transition_order,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent
MFM_t_7_mxi_195,f_thickness,20260712,1.495443341487e+08,7.287878727698e-02,4.531182567167e-02,1.608383378879e+00,second_order,-4.679806258779e+09,5.400295212909e+11,6.421594601847e+13,-74.69216517539559,-97.47516228078835,-99.8834923854294
MFM_t_7_mxi_196,f_thickness,20260712,3.977714724518e+08,1.462018680977e-01,9.768622177918e-02,1.496647791622e+00,second_order,-5.101431165674e+09,2.414115877540e+09,1.105261456360e+13,-72.41206789965453,-99.9887131155134,-99.97994713404668
MFM_t_7_mxi_197,f_thickness,20260712,2.834454414553e+08,1.200921215114e-01,7.837565015451e-02,1.532263161769e+00,second_order,-4.775593170230e+09,8.301494681365e+10,1.720377517996e+13,-74.17416096767579,-99.61187442406404,-99.96878702359614
MFM_t_7_mxi_198,f_thickness,20260712,5.470478585033e+08,1.233016735080e-01,7.860257122313e-02,1.568672265923e+00,second_order,-9.560032801825e+09,2.785354950877e+11,2.303955980002e+13,-48.30048132601274,-98.69774355584184,-99.95819910287882
MFM_t_7_mxi_199,f_thickness,20260712,1.648809083101e+08,1.322934812241e-01,8.556033407722e-02,1.546201083141e+00,second_order,-2.587091691854e+09,4.869891388521e+10,5.663589240896e+12,-86.00931628510834,-99.77231456834416,-99.98972449503158
MFM_t_7_mxi_200,f_thickness,20260712,3.595133067109e+08,4.484213131131e-02,2.592741790725e-02,1.729525534387e+00,second_order,-2.078393124482e+10,1.026805196087e+13,3.382327040288e+13,12.39702454842142,-51.993059876323834,-99.93863411199327
MFM_t_7_mxi_201,f_thickness,20260712,1.322002093934e+08,3.718902927452e-02,2.286841097071e-02,1.626218337695e+00,second_order,-8.291535589695e+09,4.074462220100e+12,1.388811856465e+15,-55.160363155486856,-80.9503823527644,-97.48026515972275
MFM_t_7_mxi_202,f_thickness,20260712,2.033180730307e+08,1.131222540211e-01,7.495601464033e-02,1.509181812346e+00,second_order,-3.468556869007e+09,2.774233145958e+10,1.901355747137e+13,-81.24245760048213,-99.87029434109346,-99.965503518007
MFM_t_7_mxi_203,f_thickness,20260712,1.405414389469e+08,1.498626532652e-01,8.855025681476e-02,1.692402243155e+00,second_order,-2.349703152856e+09,9.329786861055e+10,5.042514299829e+11,-87.29308522809511,-99.56379796195793,-99.99908513173294
MFM_t_7_mxi_204,f_thickness,20260712,5.519979697049e+08,1.198642591159e-01,7.288799175369e-02,1.644499405621e+00,second_order,-1.097450372353e+10,5.676850381342e+11,1.365311944618e+13,-40.651191062433355,-97.34586251231765,-99.97522901278035
MFM_t_7_mxi_205,f_thickness,20260712,6.452704819451e+07,9.542269385916e-02,6.091226764150e-02,1.566559538068e+00,second_order,-1.452268589175e+09,6.904475576294e+10,9.933453689121e+12,-92.14630445291306,-99.67719023351296,-99.98197763849132
MFM_t_7_mxi_206,f_thickness,20260712,3.532738845751e+08,1.143694096044e-01,7.329022431749e-02,1.560500198621e+00,second_order,-6.569371545978e+09,2.025951835247e+11,2.290735201562e+13,-64.47362117284635,-99.05279259572511,-99.95843896874615
MFM_t_7_mxi_207,f_thickness,20260712,9.190580504993e+07,1.357899847694e-01,7.948706473266e-02,1.708328081131e+00,second_order,-1.721533163429e+09,8.744213884526e+10,3.211663672305e+11,-90.69015370809235,-99.59117566410572,-99.99941730474055
MFM_t_7_mxi_208,f_thickness,20260712,4.747521579363e+08,3.834941755262e-02,2.368572458501e-02,1.619094126294e+00,second_order,-2.862280270645e+10,1.271997973964e+13,4.584512184226e+15,54.78870770626174,-40.529390768340825,-91.68227501623367
MFM_t_7_mxi_209,f_thickness,20260712,2.083810203459e+08,5.280987196281e-02,3.097034771425e-02,1.705175300260e+00,second_order,-1.000720564977e+10,3.329363677932e+12,9.282768490809e+13,-45.882223828149435,-84.43399358071797,-99.83158182966514
MFM_t_7_mxi_210,f_thickness,20260712,2.942325505406e+08,8.495343450028e-02,5.550145726695e-02,1.530652323085e+00,second_order,-6.986182746428e+09,2.334087293907e+11,1.017858578763e+14,-62.219555848187824,-98.90872787370924,-99.81532892944101
MFM_t_7_mxi_211,f_thickness,20260712,2.569041184849e+08,9.854972976628e-02,6.522292953516e-02,1.510967545749e+00,second_order,-5.050510445807e+09,5.967655771925e+10,4.739974450625e+13,-72.68744108740701,-99.72099002380074,-99.9140021831635
MFM_t_7_mxi_212,f_thickness,20260712,1.383457928989e+08,7.936284845010e-02,4.633909996669e-02,1.712654076302e+00,second_order,-4.451574868771e+09,6.703159560819e+11,5.788048768500e+12,-75.92641334737425,-96.86602501718914,-99.98949868690181
MFM_t_7_mxi_213,f_thickness,20260712,4.934968522927e+08,1.019401452842e-01,5.988696029117e-02,1.702209375607e+00,second_order,-1.224343428364e+10,1.083436085516e+12,9.117476550087e+12,-33.78896573870054,-94.9345356370022,-99.98345807374
MFM_t_7_mxi_214,f_thickness,20260712,2.875465311251e+08,5.075802208606e-02,3.308819874799e-02,1.534021917381e+00,second_order,-1.150076765358e+10,1.165271950644e+12,1.280347965257e+15,-37.80521841327341,-94.55192270398035,-97.67705225101709
MFM_t_7_mxi_215,f_thickness,20260712,1.285668958386e+08,5.596420084346e-02,3.285799628372e-02,1.703214047510e+00,second_order,-5.815573245017e+09,1.712722007634e+12,4.601130226557e+13,-68.550072597732,-91.99239123620278,-99.91652124740627
MFM_t_7_mxi_216,f_thickness,20260712,3.829244250757e+08,1.334785581809e-01,8.663048887943e-02,1.540780386991e+00,second_order,-5.897468487652e+09,9.919292861707e+10,1.301141547263e+13,-68.10719288029937,-99.53623637638776,-99.97639326253223
MFM_t_7_mxi_217,f_thickness,20260712,3.891594628586e+08,8.744499891462e-02,5.769159825520e-02,1.515731953339e+00,second_order,-8.710637056619e+09,1.674988978326e+11,1.270689031670e+14,-52.89391234253604,-99.21688071021896,-99.76945765480382
MFM_t_7_mxi_218,f_thickness,20260712,2.423084540680e+08,2.784862164615e-02,1.746249709733e-02,1.594767431652e+00,second_order,-1.948348303405e+10,1.402619623283e+13,1.430746280233e+16,5.364355524061759,-34.422345613515034,-74.04183127384594
MFM_t_7_mxi_219,f_thickness,20260712,3.293392239464e+08,6.677848052303e-02,4.166095336447e-02,1.602903321458e+00,second_order,-1.116656650048e+10,1.480766183858e+12,2.294731278614e+14,-39.612538441742686,-93.07687049144886,-99.58366467532073
MFM_t_7_mxi_220,f_thickness,20260712,5.357039848557e+08,8.863465282691e-02,5.794049862148e-02,1.529753021388e+00,second_order,-1.217016865943e+10,3.651768118207e+11,1.507056646914e+14,-34.185177507585166,-98.29266335947273,-99.72657324879367
MFM_t_7_mxi_221,f_thickness,20260712,7.284902441603e+07,6.575635710619e-02,4.343459954449e-02,1.513916504257e+00,second_order,-2.160072426571e+09,6.737923308957e+10,9.995301896576e+13,-88.31858560847681,-99.68497716793439,-99.81865426687818
MFM_t_7_mxi_222,f_thickness,20260712,6.957886367990e+07,9.322277935084e-02,5.555223920979e-02,1.678110201801e+00,second_order,-1.843813042440e+09,1.802919821782e+11,3.667522186650e+12,-90.02887868744857,-99.15706830991977,-99.99334597887527
MFM_t_7_mxi_223,f_thickness,20260712,3.328685838164e+08,4.833977409648e-02,2.886457755416e-02,1.674709217752e+00,second_order,-1.695225657100e+10,6.090418034874e+12,4.982434755777e+14,-8.324215687698356,-71.52504340233389,-99.09603202297718
MFM_t_7_mxi_224,f_thickness,20260712,3.314320883873e+08,3.333883545516e-02,2.020475333391e-02,1.650049119838e+00,second_order,-2.383898978468e+10,1.633582332547e+13,4.599449161290e+15,28.918417236683403,-23.623984837105972,-91.6551747136683
MFM_t_7_mxi_225,f_thickness,20260712,4.552135086689e+08,5.655528867106e-02,3.749723799336e-02,1.508252119291e+00,second_order,-1.550138528371e+10,4.644011738417e+11,1.370033312674e+15,-16.170354792627172,-97.8287527730728,-97.51433525411285
MFM_t_7_mxi_226,f_thickness,20260712,3.770074210219e+08,9.655061593603e-02,6.132062229962e-02,1.574521136858e+00,second_order,-8.490306502627e+09,4.282403192761e+11,5.176336863217e+13,-54.08543373442758,-97.99781814073623,-99.90608521752932
MFM_t_7_mxi_227,f_thickness,20260712,3.425750127625e+08,1.308048555789e-01,7.717158685988e-02,1.694987247267e+00,second_order,-6.578335905436e+09,3.457061288986e+11,2.265883076935e+12,-64.4251429846637,-98.38369600254568,-99.99588898632571
MFM_t_7_mxi_228,f_thickness,20260712,4.288596306965e+08,7.035620501522e-02,4.529459506278e-02,1.553302439677e+00,second_order,-1.280940184828e+10,9.496144939304e+11,3.309388333568e+14,-30.728280562872367,-95.56020106594502,-99.39957446033596
MFM_t_7_mxi_229,f_thickness,20260712,5.536344367084e+08,1.267206101012e-01,8.298198404198e-02,1.527085807409e+00,second_order,-8.751615909906e+09,1.196448155757e+11,2.648827516961e+13,-52.67230358504877,-99.44061624158705,-99.95194206508748
MFM_t_7_mxi_230,f_thickness,20260712,4.962813529051e+08,1.260700451618e-01,7.484099919821e-02,1.684505104320e+00,second_order,-9.787208448956e+09,5.349877149384e+11,5.084146238240e+12,-47.07194248576086,-97.49873458998604,-99.99077578409926
MFM_t_7_mxi_231,f_thickness,20260712,1.697167976059e+08,5.168949156946e-02,3.212350141140e-02,1.609086472470e+00,second_order,-7.495144660275e+09,1.727015102997e+12,4.035701919142e+14,-59.467150441769334,-91.92556572968135,-99.2677986810597
